employee_id,day,hours_worked,meetings_count,task_switches,break_minutes,output_score,burnout_risk_score,calculated_burnout_risk,burnout_level
1,1,6.7,1,14,52.5,56.8,28.5,2.975000000000003,Low
1,2,7.4,2,9,41.7,60.9,27.3,1.775000000000004,Low
1,3,6.9,3,11,38.5,53.2,38.1,12.375,Low
1,4,8.5,3,8,44.9,67.9,27.2,1.7749999999999932,Low
1,5,8.0,0,15,41.1,52.0,42.9,17.225,Low
1,6,9.3,4,5,48.6,56.5,41.5,15.650000000000004,Low
1,7,6.3,3,6,43.7,54.3,25.3,0.0,Low
1,8,8.8,0,13,56.5,61.1,31.9,6.475000000000005,Low
1,9,7.8,3,4,44.3,62.9,23.1,0.0,Low
1,10,7.0,3,12,61.1,58.4,28.9,3.4250000000000025,Low
1,11,12.1,1,5,41.7,49.2,59.5,33.974999999999994,Medium
1,12,9.3,3,13,47.3,53.9,52.2,26.475000000000005,Low
1,13,8.7,6,8,58.2,53.7,46.7,21.34999999999999,Low
1,14,6.3,2,10,45.7,53.9,28.2,2.4749999999999996,Low
1,15,8.6,3,7,47.4,49.6,44.4,18.749999999999993,Low
1,16,6.9,0,11,47.1,56.2,25.3,0.0,Low
1,17,8.0,4,12,39.2,61.4,40.3,14.400000000000002,Low
1,18,9.8,1,14,62.2,58.4,42.9,17.550000000000004,Low
1,19,8.1,2,12,45.5,49.8,45.7,20.025000000000002,Low
1,20,7.7,6,7,36.8,59.3,39.5,13.800000000000004,Low
1,21,9.7,4,11,41.3,54.5,55.1,29.675,Low
1,22,7.2,0,6,56.6,59.3,15.4,0.0,Low
1,23,9.0,3,11,40.4,45.5,57.7,32.2,Medium
1,24,7.2,5,10,36.7,51.8,45.2,19.725000000000005,Low
1,25,7.0,0,11,55.7,50.5,29.2,3.875,Low
1,26,9.0,0,16,44.2,55.2,46.0,20.549999999999997,Low
1,27,9.4,2,16,45.0,46.6,61.8,36.35,Medium
1,28,8.3,3,14,56.3,55.9,43.2,17.525000000000006,Low
1,29,6.5,8,8,40.1,51.2,45.7,20.174999999999997,Low
1,30,7.1,0,10,53.0,41.9,38.1,12.45,Low
1,31,7.6,3,11,56.1,49.9,40.9,15.475,Low
1,32,7.4,5,13,41.0,48.8,52.2,26.750000000000007,Low
1,33,8.8,2,7,54.2,53.7,37.0,11.650000000000002,Low
1,34,9.7,5,7,45.3,58.0,47.9,22.474999999999998,Low
1,35,8.1,2,9,39.6,46.1,47.1,21.299999999999997,Low
1,36,8.3,5,16,59.7,41.8,64.1,38.375000000000014,Medium
1,37,10.7,5,5,31.3,49.1,64.1,38.27499999999999,Medium
1,38,7.4,1,14,42.1,51.6,40.8,14.975,Low
1,39,8.6,5,12,41.2,46.9,60.2,34.5,Medium
1,40,8.3,5,12,57.1,46.8,54.6,28.82500000000001,Low
1,41,9.0,1,15,44.1,48.0,54.7,28.975,Low
1,42,8.0,4,8,52.7,49.3,43.7,17.925,Low
1,43,7.4,4,6,46.3,41.6,46.4,21.025000000000002,Low
1,44,8.5,2,13,55.6,42.9,53.6,28.1,Low
1,45,7.4,2,9,57.1,44.9,39.6,13.925000000000004,Low
1,46,7.0,0,10,56.3,48.5,30.0,4.425000000000001,Low
1,47,8.8,3,18,46.8,44.7,65.0,39.3,Medium
1,48,9.4,2,11,63.2,40.2,57.3,31.7,Medium
1,49,9.3,0,15,47.4,36.4,64.5,39.050000000000004,Medium
1,50,9.2,2,11,48.6,52.7,47.1,21.64999999999999,Low
