employee_id,day,hours_worked,meetings_count,task_switches,break_minutes,output_score,burnout_risk_score
1,1,6.7,1,14,52.5,56.8,28.5
1,2,7.4,2,9,41.7,60.9,27.3
1,3,6.9,3,11,38.5,53.2,38.1
1,4,8.5,3,8,44.9,67.9,27.2
1,5,8,0,15,41.1,52,42.9
1,6,9.3,4,5,48.6,56.5,41.5
1,7,6.3,3,6,43.7,54.3,25.3
1,8,8.8,0,13,56.5,61.1,31.9
1,9,7.8,3,4,44.3,62.9,23.1
1,10,7,3,12,61.1,58.4,28.9
1,11,12.1,1,5,41.7,49.2,59.5
1,12,9.3,3,13,47.3,53.9,52.2
1,13,8.7,6,8,58.2,53.7,46.7
1,14,6.3,2,10,45.7,53.9,28.2
1,15,8.6,3,7,47.4,49.6,44.4
1,16,6.9,0,11,47.1,56.2,25.3
1,17,8,4,12,39.2,61.4,40.3
1,18,9.8,1,14,62.2,58.4,42.9
1,19,8.1,2,12,45.5,49.8,45.7
1,20,7.7,6,7,36.8,59.3,39.5
1,21,9.7,4,11,41.3,54.5,55.1
1,22,7.2,0,6,56.6,59.3,15.4
1,23,9,3,11,40.4,45.5,57.7
1,24,7.2,5,10,36.7,51.8,45.2
1,25,7,0,11,55.7,50.5,29.2
1,26,9,0,16,44.2,55.2,46
1,27,9.4,2,16,45,46.6,61.8
1,28,8.3,3,14,56.3,55.9,43.2
1,29,6.5,8,8,40.1,51.2,45.7
1,30,7.1,0,10,53,41.9,38.1
1,31,7.6,3,11,56.1,49.9,40.9
1,32,7.4,5,13,41,48.8,52.2
1,33,8.8,2,7,54.2,53.7,37
1,34,9.7,5,7,45.3,58,47.9
1,35,8.1,2,9,39.6,46.1,47.1
1,36,8.3,5,16,59.7,41.8,64.1
1,37,10.7,5,5,31.3,49.1,64.1
1,38,7.4,1,14,42.1,51.6,40.8
1,39,8.6,5,12,41.2,46.9,60.2
1,40,8.3,5,12,57.1,46.8,54.6
1,41,9,1,15,44.1,48,54.7
1,42,8,4,8,52.7,49.3,43.7
1,43,7.4,4,6,46.3,41.6,46.4
1,44,8.5,2,13,55.6,42.9,53.6
1,45,7.4,2,9,57.1,44.9,39.6
1,46,7,0,10,56.3,48.5,30
1,47,8.8,3,18,46.8,44.7,65
1,48,9.4,2,11,63.2,40.2,57.3
1,49,9.3,0,15,47.4,36.4,64.5
1,50,9.2,2,11,48.6,52.7,47.1
1,51,9.4,6,14,41.1,42.6,74.1
1,52,7.9,4,14,32.9,39.7,65.3
1,53,8.2,5,17,46,45.9,64.3
1,54,6.9,2,12,46.4,49.8,38.2
1,55,8.5,3,11,54.6,39.5,57
1,56,7.8,0,8,35.9,31.1,55
1,57,7.9,6,16,51,39.6,68.7
1,58,6.3,4,4,48.1,36,42.4
1,59,7.7,3,7,36.6,37.7,53.3
1,60,7.3,1,6,40.6,34,47.7
1,61,10.6,0,13,45.2,43.9,63.1
1,62,7.5,2,9,32.7,46.2,45.2
1,63,10.3,0,7,42.8,39.1,58.4
1,64,9.5,2,10,38.6,31.6,71.1
1,65,7.5,3,13,35.9,38.7,59.4
1,66,7.3,3,8,51.9,47.5,38.6
1,67,6.6,1,7,48.9,34.7,42
1,68,7.3,2,10,47.5,36.9,50.5
1,69,8.6,1,10,46.4,41.7,51.4
1,70,7.4,2,10,46.2,32.1,56.3
1,71,9.1,2,3,30.8,33.3,60
1,72,9.2,5,18,45.4,36.4,81.2
1,73,8.9,3,6,56.6,38.4,53.9
1,74,9.6,5,9,52.2,31.1,75.1
1,75,6.4,5,16,43.9,30.6,68
1,76,7.9,5,8,55.7,36.7,57.1
1,77,7.9,3,9,50.2,32.2,59.7
1,78,7.7,5,8,44.9,38.2,57.3
1,79,7.3,3,11,24.8,42.6,54.4
1,80,9.1,4,9,35.4,32.7,72.2
1,81,8.4,2,8,52,37.3,53.4
1,82,5.6,4,7,41.2,31.3,48.6
1,83,5.1,4,12,42.6,28.3,55.1
1,84,8.2,3,12,42.1,32.8,66.5
1,85,11.5,2,10,34.1,37.9,78
1,86,5.9,1,9,33.9,40.1,38.7
1,87,9.5,0,7,52.9,31.5,59.1
1,88,8.2,2,5,48.4,32.9,53.6
1,89,8,2,15,51.9,22,75
1,90,10.5,4,11,32.3,38.8,78.2
1,91,5.9,3,14,56,30.2,54.6
1,92,8.6,1,8,31.5,33,61.2
1,93,8.6,3,5,40.8,31,62.1
1,94,6.4,3,14,55.5,33.7,54
1,95,6.2,1,5,31.8,25.3,50.7
1,96,6.7,3,11,45.9,28.9,59.5
1,97,7.4,0,8,47.5,27.6,53
1,98,7.7,3,10,29.4,25.3,71.4
1,99,9,3,9,46,32.3,67.3
1,100,8.6,6,16,45.1,27.7,86
1,101,8.8,1,12,31.4,26.1,74.5
1,102,9.3,4,11,33.2,32.4,76.9
1,103,8.2,3,11,42.5,29.2,68.5
1,104,8.5,5,9,34.4,29.3,75.1
1,105,8.1,2,2,34.8,24.8,60.4
1,106,8.8,4,5,59.6,21.3,70.4
1,107,9.9,2,7,54.1,21.1,76.4
1,108,9.9,2,6,47.4,29.2,68.8
1,109,8.9,2,11,37.9,20.6,80.3
1,110,8,6,9,47.9,18.6,82
1,111,7.5,2,14,40.7,35.6,60
1,112,7.9,4,11,43.9,26.2,71.9
1,113,9.1,4,14,47.4,21.5,87.2
1,114,8.7,2,10,47,14.6,81.5
1,115,8.6,4,13,41.1,21.2,84.4
1,116,8.9,4,4,37.4,22.2,74.4
1,117,6.4,1,6,48,20.3,53.7
1,118,6.1,5,9,45.4,25.6,61.4
1,119,9.9,2,9,50.6,12.7,88.3
1,120,7.7,4,9,44,19.9,74.7
1,121,8.9,5,11,38.1,14.5,93.6
1,122,8.5,2,7,40.9,15.9,76.5
1,123,9.6,2,4,34.5,31.4,65.2
1,124,8,4,10,39.6,12.9,85.6
1,125,10.4,1,8,46.6,17.1,84
1,126,7.8,0,4,41.1,12.7,66.4
1,127,9.8,1,5,44.4,26.7,67.4
1,128,9,5,15,37.7,23.9,90.3
1,129,9.1,2,7,56.7,15.4,76.6
1,130,9.1,3,11,53,18.8,81.9
1,131,8.6,2,10,40,21,76.5
1,132,9.6,4,14,52.5,13.7,96.9
1,133,9.9,5,11,38.6,12.5,100
1,134,9.1,3,20,38.6,21.2,94.8
1,135,9.3,3,6,35.8,10,89.6
1,136,10,3,7,39.3,10,94.5
1,137,9.8,3,6,34.6,12.7,90.4
1,138,11.1,5,8,44.3,14.3,100
1,139,9.5,2,18,37.8,14.4,99.3
1,140,9.2,5,12,40.5,10.1,100
1,141,9.9,5,11,36.9,14,100
1,142,9.2,3,11,46.2,11.4,91.6
1,143,9.1,5,9,49.6,12.9,90.8
1,144,7.4,0,8,50.8,10,69.8
1,145,7.5,2,12,20.7,10,87.9
1,146,7.8,3,8,49.4,10,80.2
1,147,11.5,4,7,43.6,14.8,99.8
1,148,9,2,16,37.4,10,98.1
1,149,7.6,3,11,29.7,10,87.8
1,150,6.8,1,12,52.3,11.1,72.2
1,151,8.9,5,11,29.9,10,100
1,152,9.2,3,15,43.3,10,98.8
1,153,9.7,2,11,32.8,10,96.7
1,154,9.1,3,11,32.7,10,95.7
1,155,8.6,3,9,57.7,11.2,82.8
1,156,10.7,1,7,31.8,10,95.2
1,157,8.8,2,10,30.8,10,90.5
1,158,11.3,4,10,31.2,10,100
1,159,9.4,2,10,37.4,14.9,87.7
1,160,8.4,4,9,46.4,10,87.9
1,161,11.5,2,13,39.7,10,100
1,162,7.7,1,16,29.7,10,89.5
1,163,11.3,5,16,27.4,10,100
1,164,10.1,5,9,28,11.9,100
1,165,8.8,4,11,37.6,10,95.4
1,166,7.2,2,4,40.2,10,70.8
1,167,6.6,2,11,30.9,12,76.8
1,168,10.2,1,13,37.2,10,99.1
1,169,8,1,13,33.5,10,86.8
1,170,7,2,14,31.8,10,84.8
1,171,10.2,2,9,33.2,10,97.4
1,172,9.3,2,10,20,13,93.2
1,173,7.4,3,9,35.3,10,82.1
1,174,9,5,14,34.8,10,100
1,175,10.5,3,10,45.1,10,99.8
1,176,10.9,1,5,28.9,10,94.6
1,177,7.6,3,5,24.6,10,81.2
1,178,9.9,0,8,23.8,10,91.3
1,179,8.4,4,11,33.1,10,94.2
1,180,9.5,2,16,26.6,10,100
2,1,8.7,1,7,51.1,53,36.7
2,2,9.1,6,13,51.3,52.8,59.4
2,3,8.5,5,11,44.5,61.8,43.4
2,4,5.9,4,10,56.3,54,28.9
2,5,9.6,4,9,46.2,57.7,48.5
2,6,8,1,12,48.5,60.1,32.7
2,7,7,4,11,45.9,66.1,27.1
2,8,7.1,0,11,44.9,70.1,14.3
2,9,7.4,6,13,50.7,62.6,39.4
2,10,7.3,4,8,48.5,56.1,34.4
2,11,9.9,6,9,54.1,62.3,48.6
2,12,5.7,2,8,50.1,47.2,28.7
2,13,8.4,4,13,47.7,50.1,54.1
2,14,8,2,9,44,57.7,34.6
